,NULL,文字说明,命令,系统
0,001,承志的算法课堂,https://www.toutiao.com/c/user/token/MS4wLjABAAAAL6991lQbNOgAGUWmvWrmBntypTGE_FXXepZH3UAdYvY/,all
1,001,适合初学者的机器学习[目录]以《机器学习实战》目录为顺序写机器学习教程。兼顾理论和实践。,https://varyshare.gitbook.io/easy-machine-leaning/,all
2,001,超全汇总！机器学习常用术语词汇表——上篇（建议收藏）,https://zhuanlan.zhihu.com/p/257900201,all
3,001,深度学习第60讲：深度学习笔记系列总结与感悟深度学习笔记1：利用numpy从零搭建一个神经网络深度学习笔记2：手写一个单隐层的神经网络深度学习笔记3：手动搭建深度神经网络（DNN）深度学习笔记4：深度神经网络的正则化深度学习笔记5：正则化与dropout深度学习笔记6：神经网络优化算法之从SGD到Adam深度学习笔记7：Tensorflow入门深度学习笔记8：利用Tensorflow搭建神经网络深度学习笔记9：卷积神经网络（CNN）入门深度学习笔记10：三维卷积、池化与全连接深度学习笔记11：利用numpy搭建一个卷积神经网络深度学习笔记12：卷积神经网络的Tensorflow实现深度学习笔记13：Tensorflow实战之手写mnist手写数字识别深度学习笔记14：CNN经典论文研读之Le-Net5及其Tensorflow实现深度学习笔记15：ubuntu16.04下深度学习开发环境搭建与配置深度学习笔记16：CNN经典论文研读之AlexNet及其Tensorflow实现深度学习第17讲：keras入门和快速上手指南深度学习第18讲：CNN经典论文研读之VGG网络及其tensorflow实现深度学习第19讲：CNN经典论文研读之残差网络ResNet及其keras实现深度学习第20讲：CNN经典论文研读之GoogLeNetInception网络深度学习第21讲：迁移学习的基本原理和实践深度学习第22讲：搭建一个基于keras的迁移学习花朵识别系统（附数据）深度学习第23讲：PyTorch入门及快速上手指南深度学习第24讲：计算机视觉之目标检测算法综述深度学习第25讲：目标检测算法经典论文研读之R-CNN深度学习第26讲：目标检测算法经典论文研读之空间金字塔池化网络SPP-Net深度学习第27讲：目标检测算法经典论文研读之FastR-CNN深度学习第28讲：目标检测算法经典论文研读之FasterR-CNN深度学习第29讲：目标检测算法经典论文研读之yolov1深度学习第30讲：目标检测算法经典论文研读之SSD深度学习第31讲：目标检测算法经典论文研读之yolov2/yolo9000深度学习第32讲：目标检测算法经典论文研读之yolov3深度学习第33讲：CNN图像语义分割和实例分割综述深度学习第34讲：图像语义分割经典论文研读之FCN全卷积网络深度学习第35讲：图像语义分割经典论文研读之u-net深度学习第36讲：图像实例分割经典论文研读之MaskR-CNN深度学习第37讲：循环神经网络RNN入门深度学习第38讲：RNN的4种类型深度学习第39讲：RNN之门控循环单元GRU深度学习第40讲：RNN之长短期记忆网络LSTM深度学习第41讲：LSTM的numpy和keras实现深度学习第42讲：自然语言处理之词嵌入和词向量深度学习第43讲：自然语言处理之word2vec深度学习第44讲：训练一个word2vec词向量深度学习第45讲：GloVe词向量与相关应用深度学习第46讲：seq2seq模型深度学习第47讲：注意力机制AttentionModel与机器翻译深度学习第48讲：自然语言处理之情感分析深度学习第49讲：语音识别综述——从概念到技术（上）深度学习第50讲：语音识别综述——从概念到技术（下）深度学习第51讲：自编码器（AutoEncoder）及其keras实现深度学习第52讲：变分自编码器VAE原理以及keras实现深度学习第53讲：生成式对抗网络GAN入门深度学习第54讲：训练一个深度卷积对抗网络DCGAN深度学习第55讲：图像的神经风格迁移深度学习第56讲：强化学习简介与Q-Learning实例深度学习第57讲：深度强化学习与深度Q网络(DQN)深度学习第58讲：超越CNN——CapsNet胶囊网络深度学习第59讲：再谈深度学习三大计算框架TensorFlow、Keras和PyTorch,https://mp.weixin.qq.com/s/qXfu-UzZmlv-aQt3IIUnAQ,all
4,001,数学推导+手写机器学习算法系列机器学习实验室7月29日数学推导+手写机器学习算法系列文章索引：数学推导+纯Python实现机器学习算法1：线性回归数学推导+纯Python实现机器学习算法2：逻辑回归数学推导+纯Python实现机器学习算法3：k近邻数学推导+纯Python实现机器学习算法4：决策树之ID3算法数学推导+纯Python实现机器学习算法5：决策树之CART算法数学推导+纯Python实现机器学习算法6：感知机数学推导+纯Python实现机器学习算法7：神经网络数学推导+纯Python实现机器学习算法8：线性可分支持向量机数学推导+纯Python实现机器学习算法9：线性支持向量机数学推导+纯Python实现机器学习算法10：线性不可分支持向量机数学推导+纯Python实现机器学习算法11：朴素贝叶斯数学推导+纯Python实现机器学习算法12：贝叶斯网络数学推导+纯Python实现机器学习算法13：Lasso回归数学推导+纯Python实现机器学习算法14：Ridge岭回归数学推导+纯Python实现机器学习算法15：GBDT数学推导+纯Python实现机器学习算法16：Adaboost数学推导+纯Python实现机器学习算法17：XGBoost数学推导+纯Python实现机器学习算法18：LightGBM数学推导+纯Python实现机器学习算法19：CatBoost数学推导+纯Python实现机器学习算法20：随机森林数学推导+纯Python实现机器学习算法21：最大熵模型数学推导+纯Python实现机器学习算法22：EM算法数学推导+纯Python实现机器学习算法23：CRF条件随机场数学推导+纯Python实现机器学习算法24：HMM隐马尔可夫模型数学推导+纯Python实现机器学习算法25：kmeans聚类数学推导+纯Python实现机器学习算法26：PCA降维数学推导+纯Python实现机器学习算法27：LDA线性判别分析数学推导+纯Python实现机器学习算法28：奇异值分解SVD数学推导+纯Python实现机器学习算法29：马尔可夫链蒙特卡洛数学推导+纯Python实现机器学习算法30：系列总结与感悟,https://mp.weixin.qq.com/s/xviPmQswwpyBwy44fv6ObQ,all
5,001,决策树详解（视频，哔哩哔哩）,https://www.bilibili.com/video/BV1qA411q7kw?p89&share_mediumipad&share_platios&share_sourceCOPY&share_tags_i×tamp1592017941&unique_kJnCdqT,all
6,001,"决策树详解（文字,今日头条）",https://www.toutiao.com/a6835975815205749261/?tt_frommobile_qq&utm_campaignclient_share×tamp1591633545&appnews_article_social&utm_sourcemobile_qq&utm_mediumtoutiao_ios&use_new_style0&req_id202006090025440100160290141263DE9F&group_id6835975815205749261,all
7,001,概率论简明教程（联合，条件，全概率，P检测，贝叶斯）（文字今日头条）,https://www.toutiao.com/a6835885756288860683/?tt_frommobile_qq&utm_campaignclient_share×tamp1591816091&appnews_article_social&utm_sourcemobile_qq&utm_mediumtoutiao_ios&use_new_style0&req_id202006110308110100120651600484D765&group_id6835885756288860683,all
8,001,【机器学习】决策树（上）——ID3、C4.5、CART（非常详细）,https://zhuanlan.zhihu.com/p/85731206,all
9,001,【机器学习】决策树（中）——RandomForest、Adaboost、GBDT（非常详细）,https://zhuanlan.zhihu.com/p/86263786,all
10,001,【机器学习】决策树（下）——XGBoost、LightGBM（非常详细）,https://zhuanlan.zhihu.com/p/87885678,all
11,001,【机器学习】降维——PCA（非常详细）,https://zhuanlan.zhihu.com/p/77151308,all
12,001,降维：主成分分析（PCA,https://www.toutiao.com/a6820808176619749900/?tt_frommobile_qq&utm_campaign,all
13,001,微积分学习资料用python学微积分,https://ryancheunggit.gitbooks.io/calculus-with-python/content/09Optimization.html,all
14,001,Markdown数学公式语法,https://www.jianshu.com/p/e74eb43960a1,all
15,001,源码神级算法仓库TheAlgorithms,https://github.com/TheAlgorithms,all
16,001,10种常用降维算法源代码(python)（数据降维:PCA、LDA、MDS、LLE、TSNE等降维算法的python实现）,https://zhuanlan.zhihu.com/p/68754729,all
17,001,《统计学习方法》的python代码实现及课件,https://zhuanlan.zhihu.com/p/50552396,all
18,001,KNN统计学习方法3：KNN分类，KD树最近邻搜索Python实现,https://zhuanlan.zhihu.com/p/59440097,all
19,001,中文命名实体识别,https://zhuanlan.zhihu.com/p/61227299,all
20,001,逻辑回归的原理及Python实现,https://zhuanlan.zhihu.com/p/53088482,all
21,001,KNN的原理及Python实现,https://zhuanlan.zhihu.com/p/53737727,all
22,001,"朴素贝叶斯分类，算法加代码实现,代码",https://blog.csdn.net/zhuanzhe117/article/details/79077223,all
23,001,"朴素贝叶斯分类，算法加代码实现,算法",https://blog.csdn.net/zhuanzhe117/article/details/79066839?utm_mediumdistribute.pc_relevant.none-task-blog-baidujs-5,all
24,001,"朴素贝叶斯分类，算法加代码实现,原理白话详解",https://blog.csdn.net/zhengzhenxian/article/details/79052185?utm_mediumdistribute.pc_relevant.none-task-blog-BlogCommendFromMachineLearnPai2-2.nonecase&depth_1-utm_sourcedistribute.pc_relevant.none-task-blog-BlogCommendFromMachineLearnPai2-2.nonecase,all
25,001,中文命名实体识别,"https://zhuanlan.zhihu.com/p/61227299""",all
26,001,正则表达式,https://zhuanlan.zhihu.com/p/107294963,all
27,001,word2vec图解,https://zhuanlan.zhihu.com/p/74720197,all
28,001,NLP实战-中文命名实体识别,https://zhuanlan.zhihu.com/p/61227299,all
29,001,通俗理解word2vec,https://www.jianshu.com/p/471d9bfbd72f,all
30,001,word2vec中的数学原理详解,https://www.cnblogs.com/peghoty/p/3857839.html,all
31,001,生成对抗网络讲解,https://zhuanlan.zhihu.com/p/85908702,all
32,001,生成对抗网络代码实现,https://nbviewer.jupyter.org/github/gaonanlee/Deep-Learning-Experiments/blob/master/Vanilla%20GAN_implementation.ipynb,all
33,001,GraphNeuralNetwork】GraphSAGE:算法原理，实现和应用,https://zhuanlan.zhihu.com/p/79637787,all
34,001,Python3机器学习实践：集成学习之XGBoost,https://zhuanlan.zhihu.com/p/53578613,all
35,001,Python3机器学习实践：集成学习之XGBoostgithub代码,https://github.com/Anfany/Machine-Learning-for-Beginner-by-Python3,all
